2024 Passenger Rank,Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q2-2025)
378,BHB,Bar Harbor,ME,556.55,556.55
379,TBN,Fort Leonard Wood,MO,423.49,423.49
380,PKB,Parkersburg,WV,657.56,657.56
381,GST,Gustavus,AK,282.73,282.73
381,TEX,Telluride,CO,718.18,718.18
383,AUG,Augusta/Waterville,ME,578.88,578.88
384,CGI,Cape Girardeau,MO,545.41,545.41
385,RKD,Rockland,ME,783.19,783.19
386,IWD,Ironwood,MI,516.11,516.11
387,MBL,Manistee/Ludington,MI,454.64,454.64
388,PGA,Page,AZ,509.23,509.23
389,IPL,El Centro,CA,378.94,378.94
390,DUJ,DuBois,PA,453.86,453.86
391,AOO,Altoona,PA,675.47,675.47
392,IRK,Kirksville,MO,544.53,544.53
393,OWB,Owensboro,KY,458.50,458.50
394,LAF,Lafayette,IN,560.00,560.00
395,TUP,Tupelo,MS,619.64,619.64
396,RUT,Rutland,VT,459.86,459.86
397,MKG,Muskegon,MI,514.70,514.70
398,UIN,Quincy,IL,433.86,433.86
399,CEZ,Cortez,CO,568.32,568.32
400,BRL,Burlington,IA,469.04,469.04
400,TVF,Thief River Falls,MN,537.00,537.00
402,PVC,Provincetown,MA,594.74,594.74
403,AIA,Alliance,NE,538.40,538.40
404,MSL,Muscle Shoals,AL,544.82,544.82
405,PUB,Pueblo,CO,511.73,511.73
405,SLK,Saranac Lake/Lake Placid,NY,518.50,518.50
407,MCK,McCook,NE,512.53,512.53
407,SDY,Sidney,MT,481.86,481.86
409,HOM,Homer,AK,728.23,728.23
410,DUT,Unalaska,AK,"1,343.77","1,343.77"
411,BFD,Bradford,PA,372.32,372.32
411,SOW,Show Low,AZ,490.96,490.96
413,GLH,Greenville,MS,565.68,565.68
414,VQS,Vieques,PR,696.78,696.78
415,ADK,Adak Island,AK,869.82,869.82
415,MAZ,Mayaguez,PR,498.50,498.50
417,MSS,Massena,NY,619.78,619.78
418,MKK,Hoolehua,HI,569.00,569.00
418,HOT,Hot Springs,AR,450.22,450.22
418,IPT,Williamsport,PA,582.50,582.50
421,HRO,Harrison,AR,512.17,512.17
422,CDR,Chadron,NE,360.40,360.40
422,GDV,Glendive,MT,529.71,529.71
424,ELD,El Dorado,AR,471.20,471.20
425,JBR,Jonesboro,AR,526.00,526.00
426,OLF,Wolf Point,MT,523.38,523.38
427,PDT,Pendleton,OR,462.00,462.00
427,MKL,Jackson,TN,462.53,462.53
429,LNY,Lanai,HI,503.63,503.63
430,CPX,Culebra,PR,400.00,400.00
431,HVR,Havre,MT,796.00,796.00
432,GGW,Glasgow,MT,577.00,577.00
433,JHM,Kapalua,HI,393.00,393.00
433,SGY,Skagway,AK,425.00,425.00
435,MCN,Macon,GA,480.67,480.67
436,SDP,Sandpoint,AK,"1,315.50","1,315.50"
437,HNS,Haines,AK,543.00,543.00
437,HNM,Hana,HI,447.00,447.00
437,FMN,Farmington,NM,543.18,543.18
437,CLD,Carlsbad,CA,414.64,414.64
437,ENA,Kenai,AK,773.00,773.00
437,GUF,Gulf Shores,AL,98.46,98.46
National Average,385.50,385.50,,,
